cohort,model,metric,n,mean,sample_sd
main,deeplabv3plus_resnet18_pretrained,overall_dice,3,0.7514935016477967,0.04731394893897614
main,deeplabv3plus_resnet18_pretrained,overall_iou,3,0.6334694332078485,0.058302698861137724
main,deeplabv3plus_resnet18_pretrained,small_dice,3,0.5129088149927254,0.05906964838595598
main,deeplabv3plus_resnet18_pretrained,boundary_f1,3,0.29085120663014336,0.04622602766203672
main,deeplabv3plus_resnet18_pretrained,level_mae,3,0.10572851980716239,0.012643291096903791
main,deeplabv3plus_resnet18_pretrained,condition_clear_dice,3,0.7955463381277709,0.05687638659744983
main,deeplabv3plus_resnet18_pretrained,condition_blur_dice,3,0.7012925449764245,0.01206230326749421
main,deeplabv3plus_resnet18_pretrained,condition_small_dice,3,0.5129088149927254,0.05906964838595598
main,deeplabv3plus_resnet18_pretrained,condition_blur_level_mae,3,0.08139456893685586,0.0055441000794146725
main,localsk_conv_resnet18_pretrained,overall_dice,3,0.74905404733849,0.01946875283575402
main,localsk_conv_resnet18_pretrained,overall_iou,3,0.6393915767900076,0.013073766664900524
main,localsk_conv_resnet18_pretrained,small_dice,3,0.4831035485167742,0.0961343628280708
main,localsk_conv_resnet18_pretrained,boundary_f1,3,0.28247618192088575,0.021584297250097525
main,localsk_conv_resnet18_pretrained,level_mae,3,0.10655593149603426,0.01148546170547116
main,localsk_conv_resnet18_pretrained,condition_clear_dice,3,0.7975132766373445,0.017100820510354796
main,localsk_conv_resnet18_pretrained,condition_blur_dice,3,0.6954315925926271,0.07884489389377404
main,localsk_conv_resnet18_pretrained,condition_small_dice,3,0.4831035485167742,0.0961343628280708
main,localsk_conv_resnet18_pretrained,condition_blur_level_mae,3,0.10332939078420511,0.029576187713123037
main,localsk_hc_global_conv_resnet18_pretrained,overall_dice,3,0.782302084597519,0.024920117077655998
main,localsk_hc_global_conv_resnet18_pretrained,overall_iou,3,0.6743931304765124,0.028584735458027113
main,localsk_hc_global_conv_resnet18_pretrained,small_dice,3,0.4780812312543456,0.09383963728221285
main,localsk_hc_global_conv_resnet18_pretrained,boundary_f1,3,0.2990496871827975,0.019382658236749114
